date,content_type,items_generated,tts_time_sec,render_time_sec,total_time_min,edge_tts_cost_usd,ffmpeg_passes,avg_file_size_mb,platform
2026-08-01,twitter,2,0,12,0.2,0.0,1,0.01,twitter
2026-08-01,youtube_shorts,4,69,46,1.9,0.0069,1,0.3,youtube_shorts
2026-08-01,blog,1,40,18,1.0,0.004,1,0.05,blog
2026-08-01,payhip_dataset,3,0,18,0.3,0.0,2,0.5,payhip_dataset
2026-08-01,payhip_script,2,0,7,0.1,0.0,2,0.02,payhip_script
2026-08-02,twitter,2,0,19,0.3,0.0,3,0.01,twitter
2026-08-02,youtube_shorts,3,94,215,5.2,0.0094,3,0.3,youtube_shorts
2026-08-02,blog,1,44,14,1.0,0.0044,1,0.05,blog
2026-08-02,payhip_dataset,5,0,16,0.3,0.0,1,0.5,payhip_dataset
2026-08-02,payhip_script,4,0,7,0.1,0.0,3,0.02,payhip_script
2026-08-03,twitter,3,0,19,0.3,0.0,2,0.01,twitter
2026-08-03,youtube_shorts,4,56,58,1.9,0.0056,1,0.3,youtube_shorts
2026-08-03,blog,2,42,15,0.9,0.0042,1,0.05,blog
2026-08-03,payhip_dataset,6,0,13,0.2,0.0,1,0.5,payhip_dataset
2026-08-03,payhip_script,4,0,18,0.3,0.0,3,0.02,payhip_script
2026-08-04,twitter,5,0,20,0.3,0.0,1,0.01,twitter
2026-08-04,youtube_shorts,2,69,62,2.2,0.0069,2,0.3,youtube_shorts
2026-08-04,blog,2,16,8,0.4,0.0016,3,0.05,blog
2026-08-04,payhip_dataset,3,0,18,0.3,0.0,1,0.5,payhip_dataset
2026-08-04,payhip_script,4,0,10,0.2,0.0,3,0.02,payhip_script
